Genus + Species + Sub species + Authority,Checklist code,Endemic status,Status with Criteria (South Asia),National Status - 1,Map file,Synonyms,Common names,Family,Habit,Habitat,Niche,Distribution,Global,South Asia,Extent of Occurrence,Area of Occupancy,Locations/subpopulations,Habitat status,Data source - 1,Threats,Threats to the taxon,Trade,Data source - 2,Population,Generation time,Mature individuals,Population trend,Data source - 3,Red List 2001 Status derived in the workshop,Ver. 3.1:,1997 CAMP (Ver. 2.3):,National Status - 2,Uncertainty,Other status,Red List of Threatened Species (2000),Microchiroptera Action Plan (Global),Old World Fruit Bats Action Plan (Global),CITES,Known presence in Protected Areas,Recommendations ,Research,Management,Captive breeding,Comments ,Sources,Compilers,Reviewers,Recent Field Studies
"Macroglossus sobrinus (K. Andersen, 1911)",BAT34,Non Endemic to South Asia,NEAR THREATENED  in South Asia  ,,Macroglossus_sobrinus_map.pdf,"Macroglossus minimus sobrinus  K. Andersen, 1911 ",Hill Long-tongued Fruit Bat,Pteropodidae,"Nectarivore, frugivore. ","Evergreen, montane and lowland forest, swamps, mangrove. ",Palm trees; branches. Up to 2000m. ,,"India, Myanmar, Thailand to Sumatra, Nias island, Kraktatoa Island, Java and the Islands of Sipora, Sibnerut and Mentawei","INDIA: Arunachal Pradesh: Miao, Namdapha; Meghalaya: Umkiang; Mizoram: Chirtuipui District, Sangao; Sikkim: No exact locality; Tripura: No exact locality; West Bengal: Darjeeling; MYANMAR (NORTHERN): Taho, Biapo","> 20,000 sq km.","> 2,000 sq km.",8 / not known. Contiguous.,"Habitat loss due to harvest, deforestation and human interference.",Literature; inferred,,"Habitat loss, harvest of bamboo for commercial purposes",,,,4-6 years,"< 10,000.  Low density species.",Not known.,Indirect information; estimated,,"NEAR THREATENED  
Low-density bat.  Bamboo harvest in the northeast and illegal encroachment and felling could threaten the habitat os the species. ",Data Deficient,,Assessed based on evidence and on the consensus of field biologists.,,Not Evaluated,,Not threatened,Not listed,INDIA: Arunachal Pradesh: Namdapha Wildlife Sanctuary,,"Survey, life history, ecology. ","Habitat management, monitoring.",Techniques not known at all.  ,"Very common in forests of Southeast Asia, so may be more abundant than we think [Paul Bates].  Last described in 1995 by Das in Meghalaya. Population numbers may be < 10,000 because of its distribution and habitat status.  This species tends to be in low density.  Although limited number of localities, at least one falls within a protected area.  ZSI, Kolkata has recorded the species recently.  No change in habitat in Myanmar (K.M. Swe).","Andersen, 1911; Bates & Harrison 1997; Mickleburgh  et al.  1992","J.J. Bates, P.C.M.B. Digana, S. Kandula, G. Nair, E.A.A. Shukkur, A. Thabah, R. Rajashekar, W. Yapa",Rest of the participants,"Sinha, Chintuipui District, Mizoram, India, 1993, ZSI survey."
"Megaderma lyraE. Geoffroy, 1810",BAT35,Non Endemic to South Asia,LEAST CONCERN  in South Asia  ,"Bangladesh  Least Concern 
India  Least Concern 
Nepal  Least Concern 
Pakistan  Least Concern 
Sri Lanka  Least Concern ",Megaderma_lyra_map.pdf,"Eucheira lyra caurina  Anderson & Wroughton, 1907
Megaderma schistacea  Hodgson, 1847
Megaderma spectrum  Wagner, 1844
Vespertilio (Megaderma) carnatica  Elliot, 1839","Bengali: Daini Badur  Sinhalese: Indianu Borule Wavula  Tamil: Muyalkadu vaval  English: Greater False Vampire Bat, Indian False Vampire",Megadermatidae,Colonial,"Widely distributed, many biotypes","Old building, caves, temples, tunnels, attics, stone mines, cow sheds, grain godowns - up to 923m. ",,"Afghanistan, Bangladesh, China, Pakistan, India, Sri Lanka and Malaysia. ","AFGHANISTAN: near Jalalabad: BANGLADESH: Throughout, Sylhet: INDIA: Andhra Pradesh: Balapalli, Cuddapah, Cumbum, Diguvametta, Hyderabad city, Kawal, Adilabad, Nallamalas, Visakapattanam; Arunachal Pradesh: Banderdeva; Assam: Angarakhta, B.N. College, Dhubri, Orang National Park, Polahari; Bihar: No exact locality, Aurangabad, Bhagalpur, Dhanbad, Giridih, Gopalganj, Madhubani, Nimighat, Purnea, Saharsa, Salbani, Sangajata, Vaishali; Chhattisgarh: Indravati National Park; Gujarat: No exact locality, Anand, Danta, Deesa, Garudeshwar, Kim, Mandvi, Palanpur, Surat; Himachal Pradesh: Kangra; Jammu & Kashmir: Rambon; Karnataka: Belgaum, Devikop, Hangal, Honawar, Honkan, Jog, Kadkal, Kardibetta Forest, Kasakola, Kolar, Pattadkal, Puttur, Sagar, Seringapatnam, Shimoga, Sirsi, Terakanambi, Vijayanagar; Kerala: Azhur, Trichur, Trivandrum; Madhya Pradesh: Asirgarh, Balaghat, Bhind, Chachora Fort, Damoh, Dhain, Guwarghat, Gwalior, Hoshangabad, Jabalpur, Kanha National Park, Malwa, Mandla, Mundra, Narsingarh, Sagar, Sheopore, Sohagpur; Maharashtra: Ajanta, Aurangabad, Bhandra, Borivili, Bulapur, Chinchpali, Devikop, Ellora, Ghodasgaum, Kanheri, Khed, Nagpur, Nasik, Powai Lake, Pune, Ratnagiri, Vijyadurg; Meghalaya: Kherapera; Orissa: Angul, Balugaon, Barbara, Chilka Lake, Cuttack, Konark, Mohana, Tikarpara; Rajasthan: No exact locality, Ajmer, Banswara, Bundi, Dungarpur, Jhalawar, Jhunjhunu, Jodhpur, Kota, Mandu & Jodhpur Fort, Sawai Madhopur, Sirohi, Tonk, Udaipur; Tamil Nadu: Coimbatore, Idachivillai, Keela Kuyil Kudi, Madras, Madurai, Palni, Pannian Malai, Salem, Seelaiyampatti, Tirthamalai, Tirunelveli, Vannathiparai, VOC district; Uttar Pradesh: Agra, Gazipur, Khamaria, Lucknow, Nishangara, Ranibagh; West Bengal: Bankura, Barddhaman, Birbhum, Kolkata, Darjeeling, Haora, Hugli, Jalpaiguri, Koch Bihar, Maldah, Medinipur, Murshidabad, Nadia, North 24-Parganas, Puruliya, South 24-Parganas, West Dinajpur; NEPAL: Barabisse, Hazaria, Kathmandu; PAKISTAN: Baluchistan: no exact locality; Punjab: Lahore, Lehtrar, Sialkot; Sind: Karachi, Sukkur; SRI LANKA: Northern Province: Mannar; Central Province: Peradeniya; Western Province: No exact locality, Anasigala, Colombo, Kalutara, Maharagama, Matugama; Southern Province: Udugama, Mapalagama, Nagoda; MYANMAR (NORTHERN): Kin, Paumgaum, Pyaunggaung, Taron Valley, Toungoo, Yin","> 20,000 sq km. Observed and inferred from field studies and literature.","> 2,000 sq km. Observed and inferred from field studies and literature.",Many. Contiguous.,"Increase in area due to human habitation, bats live in old, unused houses. Decrease in quality due to quarrying. ","Literature, field study; observed, inferred; 95% confidence.",,"Exploitation, illegal trade for food, human interference, renovation of old temples, quarrying, human habitation, habitat disturbance. The influence on the population well understood, not reversible and have not ceased to be a threat.",Illegal trade for food,,,4-6 years,"> 10,000",Population stable.  ,"Literature, field study; census, observed, inferred.",,LEAST CONCERN  ,,"Bangladesh  Least Concern 
India  Least Concern 
Nepal  Least Concern 
Pakistan  Least Concern 
Sri Lanka  Least Concern ",Assessed based on evidence and on the consensus of field biologists.,,Not Evaluated,Lower Risk least concern,,Not listed,"INDIA: Maharastra: Tadoba-Andhari Tiger Reserve, Radhanagari Wildlife Sanctuary; Assam: Orang National Park; Andhra Pradesh: Kawal Wildlife Sanctuary, Nagarjunsagar-Srisailam Tiger Reserve; Madhya Pradesh: Kanha National Park; Chhattisgarh: Indravati National Park ",,Survey ,"Monitoring, public awareness","Techniques known for this taxon or similar taxon.  Captive stocks exist at Munich and Hannover, Germany.","The species is known to migrate between populations and locations. Known to be a shy species, prone to human disturbance, so monitoring of the population is suggested. The group believes that the numbers will not dwindle, but the population will just move into more inaccesible/safe places (from humans). Wide spread and many localities in whole of India and Sri Lanka.  Northern and central Indian populations could have decreased.  In Bihar, the population is increasing.  Sri Lanka population has been stable for the last 15 years.  In 1960, there were 500-700 individuals seen at Mandu and Jodhpur Fort.  Gaur (1982) did not find the bats in the area.  Senacha also did not find the bats in the reported locality in 2001.   Ishwar Prakash observed a population of 700 in 1970s, but in 1990s the entire population has disappeared.","Andersen & Wroughton. 1907; Elliot, 1839; Geoffroy, 1810; Harshey & Chandra, 2001; Hodgson, 1847a; Hutson et al., 2001; Khan, 2001; Wagner, 1844","A.C. Girish, J.K. Immanuel, S. Kandula, V.S. Korad, C.D. Koya, G. Nair, P.T. Nathan, A. Nobel, J.K. Raj, R. Rajashekar, K. Seedikkoya, T.K. Shrestha, E.A.A. Shukkur, D.P. Swamidoss, W. Yapa",Rest of the participants,"Azad Ali, Assam, India, 2001 
Srinivasulu C. Andhra Pradesh, India, 1995 onwards
J. Vanitharani & J. Selwyn, Tirunelveli district, TN, India, 2000-onwards. Survey
J. Vanitharani & J. Selwyn, VOC district, TN, India S. Kandula, Madurai, TN, 1993-2000, Population studies
Y.P. Sinha, Bihar , India, 2000, survey.
Y.P. Sinha, Arunchal Pradesh, India, 1994, survey.
Y.P. Sinha, Chessa, Nagaland, India, 1996-1997, survey.
M.S. Pradhan, Rathnagari WLS, Kolhapur, Tadoba Tiger Reserve & Chandrapur, Maharashtra, India, 1991-1996. Survey Sri Lanka
V. Yapa & P.C.M. B. Digana, 1996-99, survey
A. Thabah, Maghalaya, India, 2001, Survey"
"Megaderma spasma (Linnaeus, 1758)",BAT36,Non Endemic to South Asia,LEAST CONCERN  in South Asia  ,"Bangladesh  Least Concern 
India  Least Concern 
Sri Lanka  Least Concern   ",Megaderma_spasma_map.pdf,"Vespertilio spasma  Linnaeus, 1758
Megaderma spasma ceylonense  Andersen, 1918
Megaderma horsfieldi  Blyth, 1863","Bengali: Chhoto Daini Badur  Sinhalese: Sri Lanka Boru Le Wavula  English: Lesser False Vampire Bat, Sri Lankan False Vampire Bat ",Megadermatidae,"Colonial, carnivorous. ","Humid and forested biomes, rural and suburban areas. ","Caves, disused wells, temples, verandahs, native houses, hollow trees, mines.  Up to 1500m. ",,"India, Bnagladesh, Sri Lanka, Myanmar, south-east Asia to Java, Philippines and Molucca Islands, Andaman & Nicobar Islands. ","BANGLADESH: Sunderbans: INDIA: Andaman & Nicobar Islands: Andaman Island, Wrightmyo; Assam: Kulsi, Rajapara, Srimantapur, Guwahati; Goa: Valpoi; Karnataka: Coorg, Gersoppa, Haleri, Honkan, Hulekal, No exact locality, Sagar, Sirsi, Talewadi; Kerala: Cochin, Palghat, Paralam, Trichur, Trivandrum; Maharashtra: Borivili, Chanda, Kanheri, Khandala, Melaghat Tiger Reserve, Pench National Park, Rajapur, Thana, Tadoba Tiger Reserve, Chandrapur; Meghalaya: Meghalaya; Mizoram: Paikla; West Bengal: Chunabhatti, Gosaba, Sunderbans; Tamil Nadu: Chettiri Range, ear Cumbum, High Wavy Mountains, Vannathipari; MYANMAR (NORTHERN): Mon state, Kin, Kyouk Myoung, Prome, Yin; SRI LANKA: No exact locality; Central Province: Kumbalgamuwa; Eastern Province: Mankeni, Panichi Kankeni, Trincomalee; Western Province: Anasigalla, Godigamua, Gonapola, Kalutara, Pilikutthuwa; Southern Province: Mapalagama, Nagoda, Samarakella, Udugama, Yala","> 20,000 sq km. ","> 2,000 sq km.  ",Many.  Fragmented.  ,No decrease in area of the habitat.  Decrease in quality due to human habitation. ,"Field study, literature; inferred, observed; ",,Habitat loss.  Adapts to changing habitat.,,"Field study, census; observed; 95% confidence",,4-6 years,"> 10,000.  No decline in the past and their decline in the future are not known.",Population stable. <10% decline predicted in the next 10 years due to habitat loss.,"Field study, literature; observed, inferred",,LEAST CONCERN  ,,"Bangladesh  Least Concern 
India  Least Concern 
Sri Lanka  Least Concern   ",Assessed based on evidence and on the consensus of field biologists.,,Not Evaluated,Lower Risk least concern,,Not listed,"INDIA: Maharasthra: Tadoba Tiger Reserve, Melghat Tiger Reserve, Pench National Park; West Bengal: Sundarbans National Park",,"Survey, life history, ecological studies","Habitat management, monitoring, public awareness",,"Highly adaptable species, threats can be minimized by public awareness programs. Fragmented since it occurs in southern India as well as in Andaman Islands. Stable populations in Sri Lanka.","Andersen, 1918; Bates & Harrison, 1997; Blyth, 1863; Hutson  et al.  2001; Khan, 2001; Linnaeus, 1758; Mandal & Nandi, 1989; Wilson & Reeder, 1993","C. Girish, J.K. Immanuel, S. Kandula, V.S. Korad, G. Nair, P.T. Nathan, A. Nobel, J.K. Raj, R. Rajashekar, K. Seedikkoya, T.K. Shrestha, E.A.A. Shukkur, D.P. Swamidoss, W. Yapa",Rest of the participants,"Madhavan, Paralam, Trichur district, India [1986-1993].
M.S. Pradhan, Melghat Tiger Res, Amaravathi, Maharashtra, India [1990-1996], survey
M.S. Pradhan, Pench NP, Nagpur, India, 1990-1996, survey
M.S. Pradhan, Tadoba Tiger Reserve Chandrapur, Maharashtra, India, 1990-1996, survey
A. Thabah, Meghalaya, India, 2001, echolocation
Swe K.M., Myanmar, 1999, survey
Mistry, S. & Parab, Talawady, India, 2001, population ecology"
"Megaerops niphanaeYenbutra & Felten, 1983",BAT37,Non Endemic to South Asia,NEAR THREATENED  in South Asia  ,India  Near Threatened ,Megaerops_niphanae_map.pdf,,Ratanaworabhan's Fruit Bat,Pteropodidae,Frugivorous,Forested areas,100-2100m. ,,"India, Thailand, Vietnam","INDIA: Arunachal Pradesh: Banderdeva, Namdapha; Manipur: Tamonglong, Uchathol; Mizoram: Aizwal & Lunglei; Nagaland: Dimapur, Kohima, Mokokchung; West Bengal: Pashok","> 20,000 sq km. ","> 2,000 sq km.",3 / not known. Contiguous.,Habitat loss due to fragmentation,"Literature; estimated, inferred.",,Not known,,,,Not known,Not known,Not known,,,"NEAR THREATENED  
It is NT because of limited number of known localities and projected loss of habitat and fragmentation. ",Data Deficient,India  Near Threatened ,"Assessed based on evidence, precaution and on the consensus of field biologists.",,Not Evaluated,,No data.,Not listed,INDIA: Arunachal Pradesh: Namdapha Wildlife Sanctuary,,Survey,Monitoring,Techniques not known at all. ,In Southeast Asia this species is common in forest habitats. It is not known whether the species is common in northeastern India.  The situation in South Asia deserves further study.  Not known if the locations or subpopulations are contiguous or fragmented.,"Mandal  et al.  1993; Mickleburgh  et al.  1992; Yenbutra & Felten, 1983","J.J. Bates, P.C.M.B. Digana, S. Kandula, G. Nair, R. Rajashekar, E.A.A. Shukkur, A. Thabah, W. Yapa",Rest of the participants,"Y.P. Sinha, Dimapur, Kohima, Mokokchung, Nagaland, India, 1997-98, ZSI Survey."
"Miniopterus pusillus Dobson, 1876",BAT38,Non Endemic to South Asia,"VULNERABLE  in South Asia [B2ab(iii,iv)]   ","India  Vulnerable B2ab(iii,iv) 
Nepal  Critically Endangered B2ab(iii) ",Miniopterus_pusillus_map.pdf,,Nicobar Long-fingered Bat,Vespertilionidae,"Cave dweller, insectivorous, lives in colonies of up to 700 individuals.  ","Limestone caves, rock clefts, culverts, crevices of trees. ",Up to 1200m. ,,"India, Nepal, Hong Kong, Indonesia, Loyalty Island and New Caledonia. ","INDIA: Katchal Island; Karnataka: Hubli; Tamil Nadu: Kalakkad-Mundanthurai Tiger Reserve, Madras; MYANMAR (NORTHERN): Hpa-an, Mawlamyine; NEPAL: Pokhra","> 20,000 sq km.","501-2,000 sq km.",6 / 5. Fragmented.  Decline in number of locations.  Nepal population has disappeared.,Habitat in Nepal totally destroyed.  Status in India not known.,"Field study, informal sighting; observed, inferred.",,"Human interference, ecological imbalance, habitat loss in Nepal, disturbance of roosts by man, habitat destruction in Nepal. ",,"Field study; observed, inferred.",,4-6 years.,"< 2,500",Not known,Field study; inferred.,,"VULNERABLE B2ab(iii,iv)   
Vulnerable due to restricted area with threats to habitat as known in Nepal.",,"India  Vulnerable B2ab(iii,iv) 
Nepal  Critically Endangered B2ab(iii)  ","Assessed based on evidence, inference and precaution and on the consensus of field biologists.",,Not Evaluated,Lower Risk least concern,,Not listed,INDIA: Tamil Nadu: Kalakkad-Mundanthurai Tiger Reserve.,,"Survey, basic ecology",Monitoring,,"Difficult to calculate extent of occurrence with certainity since the localities are so fragmented. In Australia similar taxa is known to have a small home range of <300 sq. km for each location. The known localities are fragmented and far apart. In Pokhara, Nepal earlier studies have reported the species however presently there is a decline because of habitat destruction (Shreshtha). Several hundred individuals observed in two sites in Myanmar but situation elsewhere unknown.  Habitat is stable in Myanmar.","Bates & Harrison, 1997; Dobson, 1876; Hutson  et al.  2001 ","P.J.J. Bates, P.M.C.B. Digana, V. Elangovan, A. Hutson, D.S. Joshi, G.H. Koli, A. Madhavan, G. Marimuthu, K. Nathar, H. Raghuram, E. Pandaranayaka, P. Patiath, M.S. Pradhan, Y.S. Priya, J. Vanitharani, K.D. Yardi",Rest of the participants,"P.T. Nathan and J. Balasingh in Kalakkad-Mundanthurai Tiger Reserve, 1999-2000"
"Miniopterus schreibersii (Kuhl, 1819)",BAT39,Non Endemic to South Asia,LEAST CONCERN  in South Asia  ,"India  Least Concern 
Nepal  Least Concern 
Sri Lanka  Least Concern ",Miniopterus_schreibersii_map.pdf,"Vespertilio scheibersii  Kuhl, 1819
Vespertilio fuliginosa  Hodgson, 1835","Sinhalese: Schreibersgedik-angeli wawula, </I>English: Schreiber's Long-fingered Bat",Vespertilionidae,Large colonies. ,Hilly and forested country-side. ,"Caves, caverns and crevices in rocks.  Up to 338-1230m. ",,"Southern Europe and Morocco through the Caucasus and Iran to Japan, the Indian subcontinent and east to Australia; also sub-Saharan Africa. ","AFGHANISTAN: near Kandahar, Jalalabad, Dilaram, Qala Bist, Qalat: INDIA: Arunachal Pradesh: 73km ESE Miao; Maharashtra: Mahableshwar, Panchgani, Pune, Robbers Cave, Satara; Meghalaya: Siju Cave; Sikkim: ?Sonari; Tamil Nadu: St. Thome Island; Uttar Pradesh: Mussorie, Ramnagar; West Bengal: Kolkata; MYANMAR (NORTHERN): Mingun, Tragine, Nam Tisang Valley, Mount Popa, Adung Valley; NEPAL: Kathmandu Valley, Kakani, Bimalnagar, Syangja; SRI LANKA: Central Province: Elkaduwa, Galaha, Gammuduwa, Kandy, Kumbalgamuwa, Mulhalkelle, Rattota; North Western Province: Kurenegala; Sabaragamuwa Province: Madola, Wavulpane cave; Uva Province: Koslanda Cave, Passara Hills, Wellawaya; Western Province: Dehiwala","> 20,000 sq km.","> 2,000 sq km.",Many.,Change in quality.,Indirect information; inferred.,,Human interference,,,,4-6 years,"> 10,000",Not known,Indirect information; inferred,,LEAST CONCERN  ,,"India  Least Concern 
Nepal  Least Concern 
Sri Lanka  Least Concern ","Assessed based on evidence, inferrence and on the consensus of field biologists.",,Lower Risk near threatened,Lower Risk near threatened,,Not listed,INDIA: Meghalaya: Siju Wildlife Sanctuary.,,Survey ,Monitoring ,,,"Bates & Harrison, 1997; Hutson  et al., 2001; Hodgson, 1835; Kuhl, 1819, Sinha, 1994","A.C. Girish, J.K. Immanuel, S. Kandula, V.S. Korad, C.D. Koya, G. Nair, P.T. Nathan, A. Nobel, J.K. Raj, R. Rajashekar, K. Seedikkoya, T.K. Shrestha, E.A.A. Shukkur, D.P. Swamidoss, W. Yapa",Rest of the participants,"Wipula & Bandara in Wavulpane cave & Koslanda Cave, 1996-1999
Sinha, Y.P. in Kolkata, 1990-93 & Pune, 1994"
"Murina aurata (Milne-Edwards, 1872)",BAT41,Non Endemic to South Asia,NEAR THREATENED  in South Asia  ,"India  Near Threatened 
Nepal  Near Threatened ",Murina_aurata_map.pdf,"Murinus aurata  Milne-Edwards, 1872 ","Little Tube-nosed Bat, Tibetan Tube-nosed Bat",Vespertilionidae,Insectivorous,Subtropical forest,Near steep mountain slopes with thick forest; 2000-4154 m.,,"India, Nepal to eastern Tibet, China, Myanmar and northern Thailand. ","INDIA: Sikkim: Sedonchen; Meghalaya: Mawphlang; NEPAL: Makut, Mount Sheopuri ","> 20,000 sq km. ","501-2,000 sq km. Estimated based upon foraging radius from 6 locations.",6 / not known. Contiguous.,Not known,Literature; Inferred,,Not known,,,,Not known,Not known,Not known,,,"NEAR THREATENED  
Although no evident threats, because of restricted distribution in the region and likelihood of habitat loss in the future, the species is assessed as Near Threatened.",,"India  Near Threatened 
Nepal  Near Threatened ","Assessed based on evidence, inference and precaution.",,Lower Risk near threatened,Lower Risk near threatened,,Not listed,None,,Survey,Monitoring ,,"The specimen was collected last from Shivpuri in Nepal, where threats are minimal to the species. Md. Azad Ali reports a specimen of Murina aurata aurata from ZSI, Northeast region Museum. Identification is questionable as Y.P. Sinha feels that the specimen was immature M. huttoni huttoni. Mistry and Senacha are of the opinion that the species be assessed as Data Deficient since there is no evidence of habitat decrease or threat other than general habitat decline.","Bates & Harrison, 1997; Corbet & Hill, 1991; Hutson  et al.  2001; Milne-Edwards, 1872","S. Mistry, M. Muni, K.R. Senacha, T.K. Shrestha, K.S. Sreepada, C. Srinivasulu",Rest of the participants,None 
"Murina cyclotis Dobson, 1872",BAT42,Non Endemic to South Asia,LEAST CONCERN  in South Asia  ,"India  Least Concern 
Nepal  Least Concern 
Sri Lanka  Least Concern ",Murina_cyclotis_map.pdf,"Murina cyclotis  Dobson, 1872 
Murina eileenae  Phillips, 1932",Round-eared Tube-nosed Bat,Vespertilionidae,"Occurs in small colony, insectivorous, low flier","Occurs in cardamom and coconut plantations, rocky caves in forest. ",769-1452m. ,,"Sri Lanka and India to China, Vietnam, Malaysia, Indonesia and Philippines.","INDIA: Andhra Pradesh: Visakhapatnam; Meghalaya: Konshnong, Cherrapunji, Mawphlang, Mawryngkueng, Risa colony; Sikkim: No exact locality; West Bengal: Darjeeling, Gopaldhara, Tong Song, Singla, Pashok, Teesta Valley; MYANMAR (NORTHERN): Chin hills, Nam Tamai Valley, Sumka Uma; NEPAL: Royal Chitwan National Park; SRI LANKA: Central Province: Medamahanuwera, Mousakande; North Western Province: Kurenegala","> 20,000 sq km.","> 2,000 sq km. ",12 / at least 3.  Fragmented.  All individuals not in one population and one subpopulation does not hold > 90% of the total population.,Not known,"Literature, indirect information; inferred",,Not known,,,,4-6 years,"< 2,500",Not known,Indirect information; inferred. ,,LEAST CONCERN  ,,"India  Least Concern 
Nepal  Least Concern 
Sri Lanka  Least Concern ",Assessed based on inference and on the consensus of field biologists.,,Not Evaluated,Lower Risk least concern,,Not listed,NEPAL: Royal Chitwan National Park.,,"Survey, ecology",Monitoring,,Species occurs in small colonies of 2-5 individuals and few locations. ,"Bates & Harrison, 1997; Dobson, 1872; Hutson  et al.  2001; Phillips, 1932","P.J.J. Bates, P.M.C.B.Digana, V. Elangovan, A. Hutson, D.S. Joshi, G.H. Koli, A. Madhavan, G. Marimuthu, K. Nathar, E. Pandaranayaka, P. Patiath, M.S. Pradhan, Y.S. Priya, H. Raghuram, J. Vanitharani, K. Yardi",Rest of the participants,"Yapa & Digana, Kurunegala, North Western Province, Sri Lanka, 1997, Survey"
"Murina grisea Peters, 1872",BAT40,Endemic to South Asia (India). ,CRITICALLY ENDANGERED [B1ab(iii)]  ,,Murina_grisea_map.pdf,,Peter's Tube-nosed Bat,Vespertilionidae,Not known. ,"Montane forests, foothills of Himalayas. ",About 1692m. ,,Endemic to South Asia (India). ,"INDIA: Uttar Pradesh: Jeripanee, Mussorie, Kumaon ",< 100 sq km.,May be < 100 sq km.,1 / not known. ,"Extensive loss of habitat due to human interference, housing and tourism.",Literature; inferred.,,"Loss of habitat, human interference, tourism ",,,,Not known,Not known,Not known,,,"CRITICALLY ENDANGERED B1ab(iii)  
Known only from type locality, which currently does not have the original habitat due to developmental activities.  Assessment based on habitat characteristics and not on population characteristics.",Vulnerable D2 ,,"Assessed based on inference, precaution and on the consensus of field biologists.",,Endangered B1+2c,Endangered B1+2c,,Not listed,None,,"Survey, PHVA ",Monitoring ,,"Appears to be a distinct species with good taxonomic characters. However, its restricted range suggests that other populations probably exist elsewhere in the western Himalayan foothills.  It is a top priority species for research in South Asia.  Occurs only in one area as per literature, no reports since last 100 years. No new information available.","Bates & Harrison, 1997; Hutson  et al.  2001; Peters, 1872","P.J.J. Bates, P.C.M.B. Digana, S. Kandula, G. Nair, R. Rajashekar, E.A.A. Shukkur, A. Thabah, W. Yapa",Rest of the participants,None
"Murina huttonii (Peters, 1872)",BAT43,Non Endemic to South Asia,LEAST CONCERN  in South Asia  ,"India  Least Concern 
Nepal  Data Deficient 
Pakistan  Data Deficient ",Murina_huttoni_map.pdf,"Harpyiocephalus huttonii  Peters, 1872 ",Hutton's Tube-nosed Bat,Vespertilionidae,"Nocturnal, insectivore. ","Montane forests, banana plantations, tropical broadleaf forest. ","Tree bark, leaf base of banana.  2154-2462m. ",,"India, Nepal, Pakistan, Tibet, Myanmar, China, Vietnam, Thailand","INDIA: Arunachal Pradesh: Dening; Assam: Ripu; Jammu & Kashmir: Srinagar; Meghalaya: Shangpong, Shillong; Uttaranchal: Dehra Dun, Kha; West Bengal: Darjeeling, Pashok, Sangser, Teesta Valley, Tong Song; MYANMAR (NORTHERN): Chin Hills, Sumka Uma; NEPAL: Kathmandu; PAKISTAN: Gilgit, Miranjani","> 20,000 sq km. ","> 2,000 sq km. Estimated on the basis of 10 km radius of foraging radius and 16 locations.",16 / not known.,"Habitat loss, human interference, change in quality of habitat.  ",Indirect information; inferred.,,"Habitat loss, human interference",,,,Not known,Not known,Not known,,,LEAST CONCERN  ,,"India  Least Concern 
Nepal  Data Deficient 
Pakistan  Data Deficient ",Assessed based on inference and on the consensus of field biologists.,,Lower Risk near threatened,Lower Risk least concern,,Not listed,None,,Survey ,Monitoring,,"Bates et al., 2000 did not collect any specimen of this species during their recent studies in Myanmar. ","Bates & Harrison, 1997; Bates  et al.  2000; Hutson  et al.  2001; Peters, 1872; Sinha, 1999","P.J.J. Bates, P.C.M.B. Digana, S. Kandula, G. Nair, R. Rajashekar, E.A.A. Shukkur, A. Thabah, W. Yapa",Rest of the participants,None
"Murina leucogaster (Milne-Edwards, 1872)",BAT44,Non Endemic to South Asia,NEAR THREATENED  in South Asia  ,"India  Near Threatened 
Nepal  Vulnerable B2ab(iii) ",Murina_leucogaster_map.pdf,"Murinus leucogaster  Milne-Edwards, 1872
Murinus rubex  Thomas, 1916 ",Greater Tube-nosed Bat,Vespertilionidae,"Low flying insectivore, solitary or groups up to six. ","Grasslands, plantation, mixed woodland. ",Roosts in vegetation or caves; up to 2000m. ,,"India, Nepal, Tibet, China, Mongolia, Siberia, Korea, Japan, Thailand. ","INDIA: West Bengal: Pashok, Sangser; NEPAL: Kathmandu Valley","> 20,000 sq km.",< 500 sq km.,2 / not known.,Change in quality of habitat due to human interference,"Literature, inferred.",,"Human interference, conversion of grasslands",,,,4-6 years,"< 2,500 ",Not known,"Indirect information; inferred, suspected.",,"NEAR THREATENED  
This qualifies for Endangered category, but because of populations existing in neighbouring countries, the chances of recolonisation, if habitat is conducive, is possible to reduce the category to NT.",,"India  Near Threatened 
Nepal  Vulnerable B2ab(iii) ","Assessed based on evidence, inference and on the consensus of field biologists.",,Not Evaluated,Lower Risk least concern,,Not listed,None,,Survey,Monitoring,,Very few records and no recent information.,"Bates & Harrison, 1997; Hutson  et al.  2001; Milne-Edwards, 1872; Thomas, 1916a","P.M.C.B. Digana, V. Elangovan, A. Hutson, D.S. Joshi, G.H. Koli, A. Madhavan, G. Marimuthu, K. Nathar, H. Raghuram, E. Pandaranayaka, P. Patiath, M.S. Pradhan, Y.S. Priya, J. Vanitharani, K.D. Yardi",Rest of the participants,None
